,Essential_Reactions
0,HMR_2260
1,HMR_2362
2,HMR_2296
3,HMR_2262
4,HMR_2603
5,HMR_6621
6,HMR_2202
7,HMR_2540
8,HMR_5534
9,HMR_0597
10,HMR_9423
11,HMR_2245
12,HMR_2610
13,HMR_2355
14,HMR_2343
15,HMR_2247
16,HMR_2270
17,HMR_7883
18,HMR_4300
19,HMR_0349
20,HMR_2354
21,HMR_2347
22,HMR_0592
23,HMR_2365
24,HMR_2246
25,HMR_2218
26,HMR_5533
27,r0941
28,HMR_2543
29,HMR_2242
30,HMR_9044
31,HMR_2257
32,HMR_2231
33,HMR_2204
34,HMR_2259
35,HMR_2243
36,HMR_9065
37,HMR_4020
38,HMR_9046
39,HMR_2235
40,HMR_5033
41,HMR_2289
42,HMR_3956
43,HMR_2238
44,HMR_2266
45,HMR_0738
46,HMR_2604
47,HMR_2214
48,HMR_2363
49,HMR_9063
50,HMR_2211
51,HMR_0638
52,HMR_0397
53,HMR_2210
54,HMR_4040
55,HMR_0625
56,HMR_2535
57,HMR_0736
58,HMR_5078
59,HMR_2263
60,HMR_5324
61,HMR_3968
62,HMR_2344
63,HMR_2201
64,HMR_9036
65,HMR_4644
66,HMR_2609
67,HMR_9042
68,HMR_4637
69,HMR_0237
70,HMR_2533
71,HMR_5034
72,HMR_2203
73,HMR_9066
74,HMR_4628
75,HMR_4896
76,HMR_0741
77,HMR_2258
78,HMR_2348
79,HMR_2361
80,HMR_2254
81,r1433
82,HMR_2630
83,HMR_2434
84,HMR_9045
85,HMR_2268
86,VBOF
87,HMR_2345
88,HMR_9038
89,HMR_0348
90,HMR_2336
91,HMR_2205
92,HMR_2264
93,HMR_2288
94,HMR_9072
95,HMR_0396
96,HMR_2334
97,HMR_9041
98,HMR_9035
99,HMR_2505
100,HMR_2232
101,HMR_2230
102,HMR_2503
103,HMR_2393
104,EX_VBOF
105,HMR_2349
106,HMR_2338
107,HMR_7719
108,HMR_2209
109,HMR_2219
110,HMR_4483
111,HMR_2252
112,HMR_2403
113,HMR_2236
114,HMR_2229
115,HMR_2399
116,HMR_2212
117,HMR_2269
118,HMR_7875
119,HMR_2541
120,HMR_2356
121,HMR_2537
122,HMR_7588
123,HMR_4631
124,HMR_2239
125,HMR_0610
126,HMR_9068
127,HMR_2350
128,HMR_2240
129,HMR_2265
130,HMR_2249
131,HMR_9039
132,HMR_5068
133,HMR_2530
134,HMR_2256
135,HMR_2353
136,HMR_2293
137,HMR_2501
138,HMR_4675
139,HMR_2433
140,HMR_2213
141,HMR_2401
142,HMR_2233
143,HMR_2208
144,HMR_2228
145,HMR_2251
146,HMR_2241
147,HMR_9064
148,HMR_2435
149,HMR_7591
150,HMR_9040
151,HMR_2244
152,HMR_7717
153,HMR_2250
154,HMR_2267
155,HMR_2342
156,HMR_2151
157,HMR_2227
158,HMR_4158
159,HMR_7808
160,HMR_2497
161,HMR_2261
162,HMR_9043
163,HMR_2255
164,HMR_2234
165,HMR_2217
166,HMR_2237
167,HMR_2499
168,HMR_2364
169,HMR_2215
170,HMR_9048
171,HMR_2436
172,HMR_2332
173,HMR_2542
174,HMR_2629
